,operator,energy_kBT,energy_kBT_low,energy_kBT_high
0,O1new007,-15.297297297297298,-15.458458458458459,-15.178178178178179
1,O1new008,-14.98898898898899,-15.108108108108109,-14.89089089089089
2,O1new009,-12.501501501501501,-12.627627627627628,-12.396396396396398
3,O1new010,-11.296296296296298,-11.408408408408409,-11.205205205205205
4,O1new011,-12.347347347347348,-12.487487487487488,-12.22122122122122
5,O1new012,-13.293293293293294,-13.412412412412412,-13.195195195195195
6,O1new013,-10.252252252252251,-10.49049049049049,-10.056056056056056
7,O1new014,-10.0,-10.11911911911912,-10.007007007007008
8,O1new005,-12.242242242242241,-12.34034034034034,-12.165165165165165
9,O1new301,-13.426426426426426,-13.503503503503504,-13.37037037037037
10,O1new302,-14.001001001001,-14.07107107107107,-13.951951951951951
11,O1new303,-14.148148148148149,-14.23923923923924,-14.078078078078079
12,O1new304,-10.0,-11.366366366366368,-10.014014014014014
13,O1new305,-10.364364364364365,-11.24024024024024,-10.035035035035035
14,O1new201,-14.568568568568569,-14.645645645645645,-14.51951951951952
15,O1new204,-14.673673673673674,-14.736736736736736,-14.624624624624625
16,O1new205,-10.826826826826828,-11.002002002002001,-10.665665665665665
17,O1new207,-14.183183183183184,-14.253253253253254,-14.127127127127128
18,O1new208,-12.172172172172171,-12.431431431431431,-11.954954954954955
19,O1new209,-11.856856856856858,-11.94094094094094,-11.793793793793794
20,O1new210,-10.623623623623624,-10.86886886886887,-10.385385385385385
21,O1new211,-11.786786786786788,-11.975975975975976,-11.611611611611611
22,O1new108,-13.307307307307308,-13.405405405405405,-13.223223223223224
23,O1new109,-12.032032032032031,-12.165165165165165,-11.912912912912912
24,O1new110,-10.777777777777779,-10.861861861861861,-10.707707707707709
25,O1new111,-12.15115115115115,-12.263263263263262,-12.06006006006006
26,O1new102,-14.785785785785786,-14.883883883883884,-14.715715715715715
27,O1new103,-14.4004004004004,-14.491491491491491,-14.33033033033033
28,O1new104,-15.122122122122121,-15.192192192192191,-15.073073073073074
29,O1new105,-11.52052052052052,-11.604604604604605,-11.457457457457458
30,O1new107,-14.7997997997998,-14.876876876876878,-14.736736736736736
